Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Italien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23933;AB012C009
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Luxemburg;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;49350;AB012C010
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Niederlande;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;28036;AB012C011
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Malta;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;17183;AB012C012
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Österreich;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;26399;AB012C013
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Portugal;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;17118;AB012C014
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Slowenien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;17327;AB012C015
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Finnland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;23850;AB012C016
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Bulgarien;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;6867;AB012C017
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Dänemark;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;25305;AB012C018
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Tschechische Republik;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;16028;AB012C019
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Estland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;10746;AB012C020
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Lettland;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9080;AB012C021
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Litauen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;9907;AB012C022
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Ungarn;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;12707;AB012C023
Jahr;2003;;;;;Bruttoinlandsprodukt pro Kopf, KKS, Polen;Euro;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;10091;AB012C024
